Bunting, patriotic and festive decorations made from such cloth or from paper
Commmoration, the act of commemorating
Firework, explosive device to producing a striking display of light or a loud noise
Declaration of Independece, the public act by which the Second Continental Congress, on July 4, 1776
Proclmation, something that is proclaimed
Patriot, characteristic of a patriot Founding Fathers, the delegates to the Constitutional Covention in Philadelphia in 1787
Parade, a large public procession and usually including a marching band
Gala, a festive occasion
Fourth of July, Indepedence date 
Continential Congress, either of two legislative congresses during and after the Revolutionary War
Revolutionary War, American Revolutionary
Barbecue, piece of beef or roasted over an open hearth
Thirteen Colonies, the thirteen British colonies in North American that joined together and became the U.S.
Constitution, the system of fundamental principles according to which a nation is governed
Articles of Confederation, the first constitution of the 13 American states, adopted in 1781 and replaced in 1789 by the Constitution of the U.S.
Firecracker, a paper or cardboard cylinder filled with an explosive and having a fuse
Picnic, an excursion or outing in which the participants carry food with them
